id;year;hour;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;count
211;2012;1;4;0;1;1;18.04;21.97;77;6.0032;18
212;2012;12;1;0;0;2;10.66;12.88;81;11.0014;221
213;2011;2;2;0;1;1;15.58;19.695;62;7.0015;16
214;2011;2;3;0;0;1;26.24;30.305;69;15.0013;94
215;2011;2;4;0;1;1;11.48;13.635;65;15.0013;4
216;2011;12;2;1;0;1;21.32;25;55;19.0012;200
218;2011;8;4;0;1;1;9.84;14.395;81;0;385
219;2012;4;3;0;1;2;27.06;31.06;61;0;11
220;2012;13;3;0;0;1;38.54;43.94;38;16.9979;337
221;2012;4;4;1;0;1;16.4;20.455;76;6.0032;4
222;2011;12;4;0;1;1;20.5;24.24;48;6.0032;176
224;2011;23;2;1;0;2;14.76;17.425;81;12.998;64
225;2011;13;4;0;1;3;18.86;22.725;94;8.9981;58
226;2011;0;1;0;1;3;8.2;9.09;100;22.0028;4
229;2012;23;1;0;1;1;4.1;3.79;46;26.0027;18
230;2012;4;1;0;0;1;13.12;16.665;57;6.0032;10
233;2011;16;1;0;0;2;19.68;23.485;59;19.9995;204
234;2011;16;3;0;0;1;36.08;37.12;22;15.0013;398
235;2012;21;1;0;1;2;13.12;16.665;66;6.0032;122
236;2012;7;1;0;1;1;8.2;10.605;59;11.0014;230
237;2011;6;4;0;1;1;6.56;9.09;80;7.0015;64
238;2012;10;2;0;1;1;29.52;34.09;62;11.0014;147
239;2011;16;2;1;0;1;21.32;25;55;32.9975;243
240;2012;10;4;0;1;1;13.12;16.665;70;7.0015;164
241;2011;12;1;0;1;1;12.3;15.15;39;8.9981;86
242;2012;18;4;0;0;1;21.32;25;48;27.9993;495
243;2012;5;2;0;1;1;15.58;19.695;43;19.0012;29
246;2012;5;2;0;1;1;22.14;25.76;88;7.0015;33
247;2011;5;2;0;0;3;21.32;25;100;7.0015;14
249;2012;19;4;0;0;1;19.68;23.485;55;15.0013;341
253;2011;21;2;0;0;1;21.32;25;77;6.0032;127
255;2012;12;3;0;1;1;31.16;36.365;70;19.0012;287
256;2012;13;4;0;1;1;18.86;22.725;38;19.9995;299
258;2011;7;1;0;1;1;3.28;8.335;73;0;74
260;2012;16;3;0;0;1;31.16;34.09;40;7.0015;513
261;2012;18;2;0;1;1;28.7;32.575;54;8.9981;743
262;2011;20;4;0;0;1;9.02;10.605;69;16.9979;106
263;2011;13;2;0;1;2;22.14;25.76;68;15.0013;129
264;2012;21;2;0;1;1;21.32;25;77;15.0013;239
265;2011;8;3;0;1;1;17.22;21.21;67;15.0013;409
266;2012;19;4;0;1;1;14.76;17.425;46;15.0013;332
267;2012;6;2;0;1;1;18.86;22.725;88;7.0015;170
268;2011;4;2;0;1;2;22.96;26.515;68;7.0015;6
269;2011;6;1;0;1;2;9.02;12.88;93;6.0032;32
270;2012;11;4;0;0;1;17.22;21.21;35;8.9981;527
271;2011;5;2;0;1;1;13.94;15.91;76;15.0013;6
272;2012;7;2;0;1;2;24.6;28.79;78;8.9981;480
275;2011;11;2;0;1;1;21.32;25;45;11.0014;115
277;2012;6;1;0;1;1;11.48;12.88;61;26.0027;108
278;2011;9;3;0;0;1;28.7;32.575;54;15.0013;222
280;2011;11;4;0;1;1;22.14;25.76;49;0;144
281;2011;0;2;0;0;2;12.3;16.665;61;0;32
282;2011;19;4;0;1;1;22.96;26.515;60;7.0015;317
283;2011;21;3;0;1;2;28.7;33.335;74;12.998;211
284;2012;4;3;0;1;2;21.32;25;68;23.9994;10
286;2011;5;3;0;1;1;26.24;29.545;78;7.0015;17
287;2012;23;2;0;1;1;22.14;25.76;37;12.998;180
288;2012;10;3;0;1;1;33.62;37.12;43;15.0013;209
289;2011;8;2;0;0;3;20.5;24.24;94;0;88
291;2011;12;2;0;1;1;25.42;30.305;69;15.0013;187
293;2011;11;2;0;0;1;17.22;21.21;41;16.9979;243
294;2012;14;1;0;1;3;13.12;15.91;81;12.998;31
295;2011;14;1;0;1;1;27.06;31.06;39;16.9979;174
296;2011;1;2;0;1;1;22.96;26.515;94;8.9981;23
297;2011;8;2;0;1;1;23.78;27.275;53;8.9981;498
300;2011;17;4;0;1;2;24.6;28.79;78;16.9979;604
303;2011;7;3;0;1;2;22.14;25.76;83;23.9994;172
304;2011;5;2;0;1;1;16.4;20.455;76;6.0032;16
305;2011;6;3;0;1;1;24.6;27.275;88;16.9979;90
307;2011;18;4;0;0;1;13.94;16.665;53;8.9981;224
308;2012;4;3;0;1;1;25.42;29.545;73;15.0013;5
309;2011;10;1;0;0;1;12.3;13.635;45;22.0028;105
311;2012;10;3;0;1;1;31.16;35.605;62;12.998;190
312;2012;9;2;0;0;1;24.6;31.06;56;8.9981;222
313;2011;0;1;0;1;1;5.74;6.06;59;19.0012;7
315;2011;14;2;0;1;2;28.7;32.575;58;35.0008;158
316;2012;1;1;0;1;1;11.48;13.635;61;11.0014;10
317;2012;23;4;0;1;1;10.66;15.15;60;0;120
320;2012;13;3;0;1;1;34.44;39.395;49;19.0012;239
324;2012;9;1;0;0;1;13.12;16.665;53;8.9981;125
325;2011;22;4;0;1;1;12.3;15.15;52;11.0014;107
329;2012;10;4;0;1;1;13.12;15.15;45;19.0012;167
330;2011;10;4;0;0;1;14.76;18.18;66;6.0032;262
331;2011;23;2;0;1;1;31.16;37.12;75;12.998;116
333;2012;3;4;0;1;1;8.2;11.365;69;7.0015;12
334;2012;1;1;0;1;3;14.76;17.425;93;12.998;3
336;2011;11;1;0;0;1;18.86;22.725;36;30.0026;196
337;2011;17;1;1;0;1;8.2;9.85;51;12.998;71
338;2011;3;2;0;0;1;9.84;12.12;70;11.0014;9
339;2011;3;4;0;0;3;13.94;15.91;87;19.0012;9
340;2011;13;2;0;1;2;22.96;26.515;88;22.0028;172
341;2012;6;2;0;1;3;21.32;25;94;19.9995;65
342;2011;22;4;0;1;2;12.3;15.15;49;11.0014;106
346;2011;21;1;0;1;3;6.56;9.85;86;6.0032;20
347;2012;21;3;0;1;1;29.52;33.335;58;15.0013;391
350;2012;0;3;0;0;1;27.88;31.82;89;11.0014;187
351;2012;12;2;0;1;1;26.24;31.06;41;30.0026;282
352;2012;1;1;0;1;1;11.48;14.395;61;8.9981;14
353;2011;15;2;0;1;1;26.24;31.06;41;0;179
354;2011;6;2;0;1;2;20.5;24.24;94;0;103
355;2012;15;2;0;1;1;24.6;31.06;43;0;262
357;2011;21;3;0;1;1;28.7;32.575;48;6.0032;206
358;2011;20;3;0;0;1;30.34;34.85;70;19.9995;229
359;2012;23;3;0;1;2;28.7;32.575;65;7.0015;131
360;2011;16;1;0;1;1;10.66;12.88;38;11.0014;86
361;2011;2;3;0;0;1;18.86;22.725;82;6.0032;79
362;2011;22;1;0;1;1;13.94;16.665;53;12.998;73
363;2011;18;3;0;1;1;31.16;35.605;58;35.0008;425
364;2012;8;1;0;1;1;6.56;9.09;59;7.0015;501
365;2012;0;4;0;1;2;15.58;19.695;87;0;28
366;2011;10;1;0;0;1;9.02;10.605;51;19.0012;79
367;2011;22;2;0;1;1;15.58;19.695;62;15.0013;89
368;2012;1;4;0;1;2;12.3;15.15;56;11.0014;8
369;2012;4;3;0;0;1;26.24;30.305;69;6.0032;10
370;2012;4;4;0;0;2;16.4;20.455;94;7.0015;12
371;2012;9;4;0;1;2;12.3;15.15;81;8.9981;301
373;2011;10;3;0;1;1;32.8;37.12;52;26.0027;124
374;2011;14;3;0;0;1;31.98;37.88;66;22.0028;361
375;2011;21;2;0;0;1;20.5;24.24;42;12.998;83
376;2011;10;1;0;0;1;15.58;19.695;76;16.9979;36
377;2012;8;1;0;1;1;8.2;11.365;82;7.0015;499
378;2012;1;1;0;0;2;6.56;6.82;47;19.9995;42
380;2011;15;1;0;1;2;14.76;18.94;18;0;112
381;2011;2;4;0;1;2;21.32;25;94;8.9981;5
382;2012;6;2;0;1;1;24.6;31.06;46;16.9979;144
383;2011;2;2;0;1;1;22.96;26.515;43;15.0013;12
384;2012;1;4;0;0;1;22.96;26.515;83;16.9979;141
385;2011;21;2;0;1;1;27.06;31.06;31;12.998;248
387;2012;17;2;0;1;1;26.24;30.305;25;19.9995;781
389;2011;21;4;0;1;3;12.3;12.88;87;35.0008;6
390;2011;1;2;0;1;1;18.86;22.725;63;15.0013;7
392;2011;18;4;0;1;2;20.5;24.24;72;19.0012;441
393;2011;19;3;0;1;1;28.7;32.575;65;0;397
394;2011;1;3;0;1;1;27.88;31.82;83;8.9981;12
395;2011;18;4;0;1;3;18.86;22.725;88;26.0027;189
396;2012;18;1;0;0;1;6.56;6.06;40;31.0009;96
397;2012;4;4;0;1;1;9.02;12.88;69;6.0032;7
399;2012;6;3;0;1;2;27.88;31.82;89;7.0015;172
400;2012;22;3;0;0;1;29.52;34.85;79;6.0032;157
401;2011;16;3;1;0;1;33.62;37.12;41;0;452
402;2011;10;2;0;1;2;13.94;15.91;93;19.0012;31
403;2012;23;3;0;0;3;27.06;30.305;78;11.0014;163
404;2011;14;4;0;1;1;14.76;17.425;46;15.0013;137
405;2011;20;3;0;0;1;29.52;35.605;84;8.9981;183
406;2011;7;4;0;1;3;21.32;25;77;16.9979;68
407;2012;21;2;0;0;1;30.34;32.575;40;12.998;316
409;2012;12;4;0;1;2;21.32;25;48;11.0014;332
410;2012;6;3;0;1;2;28.7;32.575;54;0;127
411;2011;22;3;0;1;1;30.34;32.575;37;0;139
413;2012;17;4;0;1;1;13.12;15.15;53;15.0013;627
415;2012;18;2;0;1;3;24.6;31.06;53;12.998;782
416;2012;17;3;0;1;2;26.24;30.305;65;15.0013;842
417;2012;19;2;0;1;1;32.8;38.635;59;15.0013;514
418;2011;18;4;0;0;1;9.84;11.365;48;12.998;163
420;2012;15;4;0;1;1;18.86;22.725;44;32.9975;246
421;2011;22;2;0;1;1;13.12;15.15;49;19.9995;46
422;2011;19;3;0;1;3;25.42;29.545;73;31.0009;165
423;2012;20;3;0;0;2;23.78;27.275;88;6.0032;194
424;2012;23;4;0;1;1;18.86;22.725;88;16.9979;84
425;2012;22;1;0;1;1;22.96;26.515;60;6.0032;170
427;2011;5;3;0;0;1;23.78;27.275;73;7.0015;14
428;2011;5;1;0;1;2;9.02;12.88;93;6.0032;7
430;2012;0;1;0;1;2;17.22;21.21;94;0;11
433;2011;10;3;0;1;1;30.34;34.85;66;16.9979;129
434;2012;22;1;0;0;1;18.86;22.725;55;27.9993;66
435;2012;9;2;0;0;1;18.04;21.97;26;15.0013;179
436;2012;19;3;0;1;1;30.34;33.335;48;15.0013;633
437;2011;7;2;0;0;1;26.24;29.545;78;8.9981;57
438;2012;14;1;0;1;1;10.66;10.605;33;36.9974;129
439;2012;10;4;0;1;1;18.04;21.97;77;6.0032;184
442;2012;15;4;0;1;3;25.42;28.79;83;8.9981;209
444;2011;17;4;0;0;1;16.4;20.455;40;12.998;232
445;2011;3;1;0;1;2;6.56;11.365;69;0;2
447;2012;2;1;0;0;2;18.04;21.97;88;0;42
448;2011;7;4;0;1;1;17.22;21.21;62;12.998;302
449;2012;17;1;0;0;3;12.3;14.395;70;12.998;67
453;2011;10;4;0;1;1;10.66;12.12;41;19.0012;115
455;2011;19;1;0;1;1;6.56;6.06;40;31.0009;101
457;2012;3;2;0;1;1;18.04;21.97;30;11.0014;3
458;2011;13;4;0;1;2;12.3;15.91;52;7.0015;166
460;2011;13;4;0;0;1;16.4;20.455;37;7.0015;355
461;2012;19;1;0;1;3;14.76;17.425;87;12.998;174
462;2012;9;2;0;1;1;28.7;32.575;65;8.9981;316
463;2012;2;3;0;0;1;23.78;27.275;78;7.0015;93
466;2011;1;2;0;1;1;24.6;31.06;38;23.9994;22
467;2011;0;1;0;0;1;10.66;15.15;56;0;39
468;2011;12;2;0;1;1;21.32;25;34;23.9994;196
469;2011;23;2;0;0;1;27.06;31.06;74;7.0015;131
470;2011;10;3;0;0;1;28.7;33.335;74;8.9981;297
471;2012;11;2;0;1;2;31.16;34.09;48;15.0013;202
472;2011;0;1;0;1;1;9.02;9.85;44;23.9994;5
473;2012;22;4;0;1;1;18.86;22.725;55;19.9995;197
474;2011;10;3;0;0;1;30.34;34.09;60;15.0013;304
475;2011;9;4;0;0;2;12.3;15.91;75;6.0032;170
476;2012;13;4;0;0;1;21.32;25;39;0;651
477;2011;13;2;0;1;2;32.8;36.365;43;16.9979;196
479;2011;7;1;0;1;3;15.58;19.695;0;15.0013;37
480;2012;21;2;0;0;2;24.6;30.305;60;8.9981;230
482;2012;4;1;0;1;1;7.38;10.605;80;7.0015;2
483;2012;12;2;0;0;1;25.42;31.06;43;23.9994;668
486;2011;4;2;0;1;3;16.4;20.455;94;22.0028;3
488;2011;0;1;0;1;3;12.3;14.395;93;16.9979;8
489;2012;14;1;0;1;1;9.84;11.365;44;12.998;119
490;2012;12;2;0;1;3;18.86;22.725;51;7.0015;110
492;2011;15;3;0;1;1;31.16;36.365;70;19.0012;185
493;2011;18;1;0;1;1;14.76;18.18;40;7.0015;235
494;2012;15;4;0;1;2;16.4;20.455;54;11.0014;214
495;2011;11;2;0;1;1;26.24;31.06;31;22.0028;192
496;2012;10;1;0;1;3;17.22;21.21;77;7.0015;78
497;2012;13;1;0;1;1;17.22;21.21;44;15.0013;222
500;2012;3;2;0;1;1;18.04;21.97;58;6.0032;3
501;2012;5;4;0;1;2;12.3;14.395;42;15.0013;35
504;2012;22;3;0;1;1;29.52;33.335;51;11.0014;318
505;2012;1;1;0;1;2;11.48;12.88;65;23.9994;2
507;2011;13;2;0;0;1;24.6;31.06;35;19.0012;436
509;2012;15;4;0;0;1;22.96;26.515;37;15.0013;724
510;2012;21;1;0;0;2;18.04;21.97;67;16.9979;71
511;2011;1;3;0;1;1;26.24;30.305;69;11.0014;16
512;2012;16;1;0;1;1;22.96;26.515;37;27.9993;288
513;2011;10;2;0;0;1;22.96;26.515;49;19.9995;298
515;2012;16;1;0;0;1;8.2;8.335;34;31.0009;164
518;2011;2;4;0;1;1;13.12;17.425;87;0;8
519;2011;17;2;0;1;1;29.52;31.82;25;19.0012;558
521;2012;11;2;0;1;2;15.58;19.695;43;22.0028;180
522;2011;6;1;0;1;1;4.92;7.575;74;7.0015;36
525;2012;14;4;0;1;1;24.6;31.06;40;11.0014;271
527;2011;3;3;0;0;1;26.24;30.305;69;15.0013;47
530;2011;0;1;0;1;1;18.04;21.97;72;19.0012;32
531;2011;22;2;0;1;1;19.68;23.485;39;12.998;165
532;2012;23;4;0;0;1;14.76;17.425;66;15.0013;59
533;2012;11;2;0;0;1;22.96;26.515;73;7.0015;414
535;2011;19;3;0;0;2;27.06;30.305;83;12.998;183
536;2011;20;3;0;1;1;29.52;32.575;42;15.0013;269
537;2011;9;3;1;0;2;29.52;34.09;66;6.0032;238
538;2012;22;3;0;1;1;29.52;34.85;74;7.0015;224
539;2012;10;2;0;1;1;27.06;31.06;47;16.9979;249
540;2011;22;4;0;1;1;14.76;16.665;53;19.0012;89
542;2012;23;4;0;1;2;11.48;13.635;56;15.0013;79
543;2011;20;3;0;1;1;26.24;28.03;94;6.0032;210
544;2012;1;2;0;1;1;17.22;21.21;50;15.0013;9
545;2011;15;3;0;0;1;30.34;34.09;55;15.0013;480
548;2011;4;2;0;1;2;13.94;16.665;86;8.9981;1
549;2012;20;4;0;1;2;15.58;19.695;54;16.9979;296
550;2011;3;4;0;1;1;22.96;26.515;94;8.9981;7
551;2011;6;2;0;0;2;14.76;18.18;93;6.0032;4
552;2011;22;1;0;1;1;12.3;14.395;49;15.0013;55
553;2011;19;2;0;1;1;27.88;31.06;26;19.0012;391
554;2011;16;4;0;1;1;26.24;31.06;44;0;419
555;2011;19;3;0;1;1;31.16;34.85;55;15.0013;347
556;2012;7;2;0;1;2;22.96;26.515;94;12.998;418
557;2011;6;3;1;0;1;26.24;28.79;89;11.0014;16
558;2011;23;1;0;1;1;4.92;6.82;50;12.998;15
560;2011;13;1;0;0;1;18.86;22.725;38;26.0027;221
562;2012;1;3;0;0;1;24.6;29.545;73;0;109
563;2012;8;1;0;1;1;18.86;22.725;88;7.0015;579
564;2012;10;1;0;1;1;21.32;25;68;7.0015;164
565;2012;18;1;0;1;1;16.4;20.455;43;31.0009;410
566;2012;2;2;0;1;1;22.96;26.515;83;7.0015;4
568;2012;4;3;0;0;1;30.34;35.605;74;11.0014;16
571;2011;2;3;1;0;2;27.88;31.82;79;11.0014;39
572;2012;16;4;0;1;1;14.76;16.665;43;19.0012;360
575;2012;13;1;0;1;3;13.94;15.91;71;16.9979;64
576;2011;21;3;0;0;2;28.7;33.335;84;22.0028;114
577;2011;10;2;0;0;1;16.4;20.455;43;27.9993;215
578;2012;16;4;0;1;1;22.96;26.515;52;12.998;466
579;2011;5;3;0;1;1;30.34;34.09;58;12.998;26
581;2011;22;2;0;0;1;22.96;26.515;83;0;117
583;2011;0;4;0;1;1;22.14;25.76;56;22.0028;37
584;2011;0;1;0;1;2;6.56;9.09;64;7.0015;8
585;2011;17;4;0;1;1;12.3;15.91;49;7.0015;331
586;2012;14;4;0;1;1;27.06;31.06;61;16.9979;365
587;2011;22;4;0;1;1;18.86;22.725;59;15.0013;143
588;2012;6;3;0;1;1;24.6;28.79;78;11.0014;165
589;2012;20;1;1;0;1;10.66;12.12;60;19.0012;90
590;2012;2;3;0;1;2;27.88;31.82;83;12.998;11
591;2012;14;3;0;1;2;31.16;34.85;52;19.9995;255
592;2011;5;4;0;1;2;22.14;25.76;88;22.0028;22
593;2011;20;1;0;0;1;16.4;20.455;58;7.0015;86
596;2012;20;2;0;1;1;18.86;22.725;31;11.0014;329
598;2011;8;2;0;1;2;21.32;25;88;0;487
599;2012;0;3;0;1;1;21.32;25;59;7.0015;32
601;2012;18;4;0;1;1;22.96;26.515;83;7.0015;233
602;2011;19;3;0;1;1;27.88;31.82;69;11.0014;396
605;2011;14;3;0;1;1;33.62;34.85;23;12.998;303
606;2012;11;4;0;0;1;15.58;19.695;46;15.0013;445
607;2011;16;4;0;1;2;15.58;19.695;54;7.0015;245
